t,h,dx,dy,X,Y,FPS
3.1025,74.00,0.00,0.00,0.00,0.00,42
3.1180,74.00,0.00,0.00,0.00,0.00,44
3.1475,74.00,0.00,0.00,0.00,0.00,43
3.1768,74.00,0.00,0.00,0.00,0.00,42
3.2080,74.00,0.00,0.00,0.00,0.00,41
3.2236,74.00,0.00,0.00,0.00,0.00,43
3.2535,74.00,0.00,0.00,0.00,0.00,42
3.2833,74.00,0.00,0.00,0.00,0.00,41
3.2993,74.00,0.00,0.00,0.00,0.00,43
3.3291,74.00,0.00,0.00,0.00,0.00,42
3.3584,74.00,0.00,0.00,0.00,0.00,41
3.3737,74.00,0.00,0.00,0.00,0.00,44
3.4037,74.00,0.00,0.00,0.00,0.00,43
3.4347,74.00,0.00,0.00,0.00,0.00,42
3.4652,74.00,0.00,0.00,0.00,0.00,41
3.4803,74.00,0.00,0.00,0.00,0.00,43
3.5105,74.00,0.00,0.00,0.00,0.00,42
3.5527,74.00,0.00,0.00,0.00,0.00,40
3.5684,74.00,0.00,0.00,0.00,0.00,43
3.5863,74.00,0.00,0.00,0.00,0.00,44
3.6212,74.00,0.00,0.00,0.00,0.00,42
3.6379,74.00,0.00,0.00,0.00,0.00,44
3.6679,74.00,0.00,0.00,0.00,0.00,43
3.6848,74.00,0.00,0.00,0.00,0.00,44
3.7144,74.00,0.00,0.00,0.00,0.00,43
3.7449,74.00,0.00,0.00,0.00,0.00,42
3.7751,74.00,0.00,0.00,0.00,0.00,41
3.7900,74.00,0.00,0.00,0.00,0.00,44
3.8206,74.00,0.00,0.00,0.00,0.00,43
3.8378,74.00,0.00,0.00,0.00,0.00,44
3.8697,74.00,0.00,0.00,0.00,0.00,43
3.8868,74.00,0.00,0.00,0.00,0.00,44
3.9164,74.00,0.00,0.00,0.00,0.00,43
3.9457,74.00,0.00,0.00,0.00,0.00,42
3.9750,74.00,0.00,0.00,0.00,0.00,41
3.9905,74.00,0.00,0.00,0.00,0.00,44
4.0201,74.00,0.00,0.00,0.00,0.00,43
4.0516,74.00,0.00,0.00,0.00,0.00,41
4.0813,74.00,0.00,0.00,0.00,0.00,41
4.0982,74.00,0.00,0.00,0.00,0.00,42
4.1286,74.00,0.00,0.00,0.00,0.00,41
4.1442,74.00,0.00,0.00,0.00,0.00,44
4.1743,74.00,0.00,0.00,0.00,0.00,43
4.2059,74.00,0.00,0.00,0.00,0.00,41
4.2350,74.00,0.00,0.00,0.00,0.00,41
4.2497,74.00,0.00,0.00,0.00,0.00,43
4.2792,74.00,0.00,0.00,0.00,0.00,42
4.3097,74.00,0.00,0.00,0.00,0.00,41
4.3420,74.00,0.00,0.00,0.00,0.00,40
4.3571,74.00,0.00,0.00,0.00,0.00,43
4.3875,74.00,0.00,0.00,0.00,0.00,42
4.4053,74.00,0.00,0.00,0.00,0.00,43
4.4351,74.00,0.00,0.00,0.00,0.00,42
4.4507,74.00,0.00,0.00,0.00,0.00,44
4.4818,74.00,0.00,0.00,0.00,0.00,43
4.5141,74.00,0.00,0.00,0.00,0.00,42
4.5435,74.00,0.00,0.00,0.00,0.00,41
4.5585,74.00,0.00,0.00,0.00,0.00,43
4.5877,74.00,0.00,0.00,0.00,0.00,42
4.6061,74.00,0.00,0.00,0.00,0.00,44
4.6379,74.00,0.00,0.00,0.00,0.00,42
4.6682,74.00,0.00,0.00,0.00,0.00,41
4.6971,74.00,0.00,0.00,0.00,0.00,41
4.7130,74.00,0.00,0.00,0.00,0.00,43
4.7437,74.00,0.00,0.00,0.00,0.00,42
4.7726,74.00,0.00,0.00,0.00,0.00,41
4.8032,74.00,0.00,0.00,0.00,0.00,40
4.8188,74.00,0.00,0.00,0.00,0.00,42
4.8527,74.00,0.00,0.00,0.00,0.00,41
4.8687,74.00,0.00,0.00,0.00,0.00,43
4.8994,74.00,0.00,0.00,0.00,0.00,42
4.9149,74.00,0.00,0.00,0.00,0.00,44
4.9474,74.00,0.00,0.00,0.00,0.00,43
4.9769,74.00,0.00,0.00,0.00,0.00,42
5.0086,74.00,0.00,0.00,0.00,0.00,41
5.0235,74.00,0.00,0.00,0.00,0.00,43
5.0562,74.00,0.00,0.00,0.00,0.00,42
5.0709,74.00,0.00,0.00,0.00,0.00,45
5.1156,74.00,0.00,0.00,0.00,0.00,42
5.1314,74.00,0.00,0.00,0.00,0.00,44
5.1607,74.00,0.00,0.00,0.00,0.00,43
5.1761,74.00,0.00,0.00,0.00,0.00,45
5.2073,74.00,0.00,0.00,0.00,0.00,44
5.2232,74.00,0.00,0.00,0.00,0.00,46
5.2669,74.00,0.00,0.00,0.00,0.00,44
5.2827,74.00,0.00,0.00,0.00,0.00,45
5.3121,74.00,0.00,0.00,0.00,0.00,44
5.3273,74.00,0.00,0.00,0.00,0.00,46
5.3604,74.00,0.00,0.00,0.00,0.00,45
5.3767,74.00,0.00,0.00,0.00,0.00,46
